DATE,M1SL,M2SL
1973-06-01,256.7,833.3
1973-07-01,257.5,836.5
1973-08-01,257.7,838.8
1973-09-01,257.9,839.3
1973-10-01,259.0,842.6
1973-11-01,261.0,848.9
1973-12-01,262.9,855.5
1974-01-01,263.8,859.7
1974-02-01,265.3,864.2
1974-03-01,266.7,870.1
1974-04-01,267.2,872.9
1974-05-01,267.6,874.6
1974-06-01,268.5,877.8
1974-07-01,269.3,881.4
1974-08-01,270.1,884.1
1974-09-01,271.0,887.9
1974-10-01,272.3,893.3
1974-11-01,273.7,898.6
1974-12-01,274.2,902.1
1975-01-01,273.9,906.3
1975-02-01,275.0,914.1
1975-03-01,276.4,925.0
1975-04-01,276.2,935.1
1975-05-01,279.2,947.9
1975-06-01,282.4,963.0
1975-07-01,283.7,975.1
1975-08-01,284.1,983.1
1975-09-01,285.7,991.5
1975-10-01,285.4,997.8
1975-11-01,286.8,1006.9
1975-12-01,287.1,1016.2
1976-01-01,288.4,1026.6
1976-02-01,290.8,1040.3
1976-03-01,292.7,1050.0
1976-04-01,294.7,1060.8
1976-05-01,295.9,1072.1
1976-06-01,296.2,1077.6
1976-07-01,297.2,1086.3
1976-08-01,299.0,1098.7
1976-09-01,299.6,1110.8
1976-10-01,302.0,1125.0
1976-11-01,303.6,1138.2
1976-12-01,306.2,1152.0
1977-01-01,308.3,1165.2
1977-02-01,311.5,1177.6
1977-03-01,313.9,1188.5
1977-04-01,316.0,1199.6
1977-05-01,317.2,1209.0
1977-06-01,318.8,1217.8
1977-07-01,320.2,1226.7
1977-08-01,322.3,1237.0
1977-09-01,324.5,1246.2
1977-10-01,326.4,1254.0
1977-11-01,328.6,1262.4
1977-12-01,330.9,1270.3
1978-01-01,334.4,1279.7
1978-02-01,335.3,1285.5
1978-03-01,337.0,1292.2
1978-04-01,339.9,1300.4
1978-05-01,344.9,1310.5
1978-06-01,346.9,1318.5
1978-07-01,347.6,1324.1
1978-08-01,349.6,1333.5
1978-09-01,352.2,1345.0
1978-10-01,353.3,1352.3
1978-11-01,355.4,1359.1
1978-12-01,357.3,1366.0
1979-01-01,358.6,1371.6
1979-02-01,359.9,1377.8
1979-03-01,362.5,1387.8
1979-04-01,368.0,1402.1
1979-05-01,369.6,1410.2
1979-06-01,373.4,1423.0
1979-07-01,377.2,1434.8
1979-08-01,378.8,1446.6
1979-09-01,379.3,1454.1
1979-10-01,380.8,1460.4
1979-11-01,380.8,1465.9
1979-12-01,381.8,1473.7
1980-01-01,385.8,1482.7
1980-02-01,390.1,1494.6
1980-03-01,388.4,1499.8
1980-04-01,383.8,1502.2
1980-05-01,384.8,1512.3
1980-06-01,389.1,1529.2
1980-07-01,394.0,1545.5
1980-08-01,399.2,1561.5
1980-09-01,404.8,1574.0
1980-10-01,409.0,1584.8
1980-11-01,410.7,1595.8
1980-12-01,408.5,1599.8
1981-01-01,411.3,1606.9
1981-02-01,414.8,1618.7
1981-03-01,419.0,1636.6
1981-04-01,427.4,1659.2
1981-05-01,424.7,1664.2
1981-06-01,425.2,1670.3
1981-07-01,426.9,1681.9
1981-08-01,426.9,1694.3
1981-09-01,427.0,1706.0
1981-10-01,428.4,1721.8
1981-11-01,431.3,1736.1
1981-12-01,436.7,1755.5
1982-01-01,442.7,1770.4
1982-02-01,441.9,1774.5
1982-03-01,442.7,1786.5
1982-04-01,447.1,1803.9
1982-05-01,446.7,1815.4
1982-06-01,447.5,1826.0
1982-07-01,448.0,1831.5
1982-08-01,451.4,1845.2
1982-09-01,456.9,1858.4
1982-10-01,464.5,1869.7
1982-11-01,471.5,1883.7
1982-12-01,474.8,1905.9
1983-01-01,477.2,1959.4
1983-02-01,484.3,1996.8
1983-03-01,490.6,2015.2
1983-04-01,493.2,2028.6
1983-05-01,500.0,2043.1
1983-06-01,504.0,2053.5
1983-07-01,507.8,2064.8
1983-08-01,510.5,2074.0
1983-09-01,512.8,2083.2
1983-10-01,517.2,2099.2
1983-11-01,519.0,2112.3
1983-12-01,521.4,2123.5
1984-01-01,525.1,2138.2
1984-02-01,527.5,2158.2
1984-03-01,531.4,2175.2
1984-04-01,535.0,2191.7
1984-05-01,536.7,2204.1
1984-06-01,540.2,2215.1
1984-07-01,540.9,2223.5
1984-08-01,541.0,2230.4
1984-09-01,543.1,2244.4
1984-10-01,543.7,2258.9
1984-11-01,547.5,2281.4
1984-12-01,551.6,2306.4
1985-01-01,557.0,2332.4
1985-02-01,563.6,2354.1
1985-03-01,566.6,2366.2
1985-04-01,570.4,2375.4
1985-05-01,575.1,2389.5
1985-06-01,582.3,2412.6
1985-07-01,589.1,2429.5
1985-08-01,596.2,2444.0
1985-09-01,603.3,2456.4
1985-10-01,607.8,2468.0
1985-11-01,612.2,2477.8
1985-12-01,619.8,2492.1
1986-01-01,621.4,2502.1
1986-02-01,625.2,2512.9
1986-03-01,633.5,2533.1
1986-04-01,641.0,2557.8
1986-05-01,652.0,2584.8
1986-06-01,660.6,2605.0
1986-07-01,670.3,2626.6
1986-08-01,678.7,2646.5
1986-09-01,687.4,2667.8
1986-10-01,694.9,2687.4
1986-11-01,705.4,2701.3
1986-12-01,724.7,2728.0
1987-01-01,730.2,2743.9
1987-02-01,730.7,2747.5
1987-03-01,733.8,2753.7
