DATE,PCEPI_NBD19820101
1968-11-01,41.88222
1968-12-01,41.96844
1969-01-01,42.13226
1969-02-01,42.23789
1969-03-01,42.43620
1969-04-01,42.62373
1969-05-01,42.79617
1969-06-01,43.00310
1969-07-01,43.19064
1969-08-01,43.31135
1969-09-01,43.49026
1969-10-01,43.63899
1969-11-01,43.82652
1969-12-01,44.02914
1970-01-01,44.18650
1970-02-01,44.36110
1970-03-01,44.47103
1970-04-01,44.69736
1970-05-01,44.83963
1970-06-01,44.95603
1970-07-01,45.11985
1970-08-01,45.23840
1970-09-01,45.44102
1970-10-01,45.66520
1970-11-01,45.84627
1970-12-01,46.04889
1971-01-01,46.14589
1971-02-01,46.28169
1971-03-01,46.43473
1971-04-01,46.61580
1971-05-01,46.81195
1971-06-01,47.01888
1971-07-01,47.16115
1971-08-01,47.29695
1971-09-01,47.36808
1971-10-01,47.44137
1971-11-01,47.53837
1971-12-01,47.72590
1972-01-01,47.92206
1972-02-01,48.10959
1972-03-01,48.17857
1972-04-01,48.25401
1972-05-01,48.35748
1972-06-01,48.43292
1972-07-01,48.60536
1972-08-01,48.74763
1972-09-01,48.96534
1972-10-01,49.01923
1972-11-01,49.16580
1972-12-01,49.32316
1973-01-01,49.47189
1973-02-01,49.73271
1973-03-01,50.08407
1973-04-01,50.45698
1973-05-01,50.70486
1973-06-01,50.99586
1973-07-01,51.18124
1973-08-01,51.76970
1973-09-01,51.97663
1973-10-01,52.26979
1973-11-01,52.69874
1973-12-01,53.13201
1974-01-01,53.64071
1974-02-01,54.26582
1974-03-01,54.89524
1974-04-01,55.28324
1974-05-01,55.82859
1974-06-01,56.30066
1974-07-01,56.71668
1974-08-01,57.30945
1974-09-01,57.90438
1974-10-01,58.32040
1974-11-01,58.75798
1974-12-01,59.22142
1975-01-01,59.59002
1975-02-01,59.91335
1975-03-01,60.11597
1975-04-01,60.32074
1975-05-01,60.56001
1975-06-01,60.93939
1975-07-01,61.46318
1975-08-01,61.72832
1975-09-01,62.03440
1975-10-01,62.39438
1975-11-01,62.79531
1975-12-01,63.14235
1976-01-01,63.38377
1976-02-01,63.46353
1976-03-01,63.55837
1976-04-01,63.70279
1976-05-01,64.00888
1976-06-01,64.28695
1976-07-01,64.61243
1976-08-01,64.96810
1976-09-01,65.33454
1976-10-01,65.67727
1976-11-01,65.97474
1976-12-01,66.34334
1977-01-01,66.72918
1977-02-01,67.25082
1977-03-01,67.58924
1977-04-01,67.98155
1977-05-01,68.32644
1977-06-01,68.70797
1977-07-01,69.06579
1977-08-01,69.38696
1977-09-01,69.64778
1977-10-01,69.97112
1977-11-01,70.37420
1977-12-01,70.71478
1978-01-01,71.13295
1978-02-01,71.46275
1978-03-01,71.92619
1978-04-01,72.47155
1978-05-01,72.98888
1978-06-01,73.46525
1978-07-01,73.86834
1978-08-01,74.24125
1978-09-01,74.66374
1978-10-01,75.25651
1978-11-01,75.68546
1978-12-01,76.03897
1979-01-01,76.61235
1979-02-01,77.02190
1979-03-01,77.62330
1979-04-01,78.43163
1979-05-01,79.24427
1979-06-01,79.89740
1979-07-01,80.50742
1979-08-01,81.12390
1979-09-01,81.83954
1979-10-01,82.50560
1979-11-01,83.07898
1979-12-01,83.77738
1980-01-01,84.65468
1980-02-01,85.57294
1980-03-01,86.62269
1980-04-01,87.07536
1980-05-01,87.75220
1980-06-01,88.30617
1980-07-01,88.99164
1980-08-01,89.73314
1980-09-01,90.56303
1980-10-01,91.28945
1980-11-01,92.03311
1980-12-01,92.63019
1981-01-01,93.52043
1981-02-01,94.46672
1981-03-01,95.12416
1981-04-01,95.54018
1981-05-01,95.96913
1981-06-01,96.35066
1981-07-01,96.93266
1981-08-01,97.53837
1981-09-01,98.12899
1981-10-01,98.57303
1981-11-01,99.10329
1981-12-01,99.40938
1982-01-01,100.00000
1982-02-01,100.29962
1982-03-01,100.55829
1982-04-01,100.61002
1982-05-01,101.20495
1982-06-01,101.93999
1982-07-01,102.54354
1982-08-01,102.86256
1982-09-01,103.14709
1982-10-01,103.72694
1982-11-01,104.03733
1982-12-01,104.19469
1983-01-01,104.68184
1983-02-01,104.85860
1983-03-01,104.99440
1983-04-01,105.47293
1983-05-01,105.77255
1983-06-01,106.16701
1983-07-01,106.76410
1983-08-01,107.22323
1983-09-01,107.59614
1983-10-01,107.78151
1983-11-01,107.93240
1983-12-01,107.99276
1984-01-01,108.46267
